dua_id,duaId,duaArabic,dua_ur,dua_en,duaReference_ur,duaReference_en,duaType_ur,duaType_en,duaTitle_ur,duaTitle_en,Dua_IRI
75,MasnoonDua-23,اَللّٰهُمَّ لَاسَهْلَ اِلاَّ مَاجَعَلْتَهُ سَهْلًا وَاَنْتَ تَجْعَلُ الْحَزْنَ سَهْلًا اِذَا شِئْتَ,اے اللہ ! کوئی کام آسان نہیں مگر جسے تو آسان کر دے اور جب تو چاہتا ہے ،مشکل کو آسان کر دیتا ہے,O Allah! There is no ease except which You have made easy and You ease out the difficulty.,( صحیح ابن حبان، کتاب الرقائق، باب الأدعےة ، ج : 3، حدیث : 974 ) صحیح,( صحیح ابن حبان، کتاب الرقائق، باب الأدعےة ، ج : 3، حدیث : 974 ) صحیح,مسنون دعاء,Masnoon Dua,مشکل میں آسانی کی دعا کرنا,Asking for Ease in Difficulties,
76,MasnoonDua-24,اَللّٰهُمَّ اغْفِرْلِیْ ذَنْبِیْ كُلَّهُ دِقَّهُ وَجِلَّهُ وَاَوَّلَهُ وَآخِرَهُ وَعَلَانِیَتَهُ وَسِرَّهُ,اے اللہ! میرے سب گناہوں کو بخش دے تھوڑے ہوں یا بہت، گزشتہ ہو یا موجودہ، کھلے ہوں یا چھپے,"O Allah! Forgive me all my sins, whether few or numerous, those of the present and the Past, those committed openly or secretly.",( صحیح مسلم،کتاب الصلاة : 1084),( صحیح مسلم،کتاب الصلاة : 1084),مسنون دعاء,Masnoon Dua,ہر قسم کے گناہ کی بخشش کا سوال,Seeking Forgiveness,
77,MasnoonDua-25,اَللّٰهُمَّ اِنِّیْ اَعُوْذُبِكَ مِنْ مُنْكَرَاتِ الْاَخْلَاقِ وَالْاَعْمَالِ وَالْاَهْوَاءِ,اے اللہ! بے شک میں برے اخلاق ، برے اعمال اور بری خواہشات سے تیری پناہ مانگتا ہوں,O Allah! I seek refuge in You from a bad character and bad actions and bad desires.,( سنن الترمذی، کتاب الدعوات، باب  دعاء امّ سلمة :3591 ),( سنن الترمذی، کتاب الدعوات، باب  دعاء امّ سلمة :3591 ),مسنون دعاء,Masnoon Dua,رذائل اخلاق سے پناہ مانگنا,Seeking Refuge from Bad Character,
78,MasnoonDua-26,اَللّٰهُمَّ اَحْيِنِیْ مِسْكِيْنًا وَّاَمِتْنِیْ مِسْكِيْنًا وَّاحْشُرْنِیْ فِیْ زُمْرَةِ الْمَسَاكِيْنِ,اے اللہ ! مجھ کو مسکینی کی حالت میں زندہ رکھ، مسکینی میں فوت کر اور مسکینوں کی جماعت میں اٹھا,O Allah! Keep me alive (in a state of) humbleness and grant me death in (a state of) humbleness and resurrect me in the company of the humble ones.,( سنن ابن ماجہ،کتاب الزھد ، باب مجالسةالفقراء : 4126 ),( سنن ابن ماجہ،کتاب الزھد ، باب مجالسةالفقراء : 4126 ),مسنون دعاء,Masnoon Dua,عاجزی طلب کرنا,Asking Allah for Humbleness,
79,MasnoonDua-27,اَللّٰهُمَّ اِنِّیْ اَعُوْذُبِكَ مِنْ غَلَبَةِ الدَّيْنِ وَغَلَبَةِ الْعَدُوِّ وَشَمَاتَةِ الْاَعْدَاءِ,اے اللہ! میں قرض کے غلبے، دشمن کے غلبے اور دشمنوں کے خوش ہونے سے تیری پناہ مانگتا ہوں,"O Allah! I  seek refuge in You from being overpowered by debt, from being overpowered by enemy, and from the rejoicing of enemies.",( سنن النسائی، کتاب الاستعاذة، باب الاستعاذہ من غلبة الدین : 5477 ),( سنن النسائی، کتاب الاستعاذة، باب الاستعاذہ من غلبة الدین : 5477 ),مسنون دعاء,Masnoon Dua,قرض اور دشمن کے غلبے سے پناہ مانگنا,Seeking Refuge from Debt and Enemy,
80,MasnoonDua-28,اَللّٰهُمَّ اِنِّیْ اَعُوْذُبِكَ اَنْ اُشْرِكَ بِكَ وَاَنَا اَعْلَمُ وَاَسْتَغْفِرُكَ لِمَا لَا اَعْلَمُ,اے اللہ! میں تیری پناہ چاہتا ہوں اس سے کہ میں جانتے بوجھتے تیرے ساتھ شرک کروں اورمیں بخشش مانگتا ہوں اس سے جو میں انجانے میں کروں,O Allah! I take refuge in You lest I should commit shirk with You knowingly and I seek Your forgiveness for what I commit unknowingly.,( صحیح الجامع الصغیر و زیا دتہ ، ج :1، ص : 694 ، حدیث : 3731 ),( صحیح الجامع الصغیر و زیا دتہ ، ج :1، ص : 694 ، حدیث : 3731 ),مسنون دعاء,Masnoon Dua,جانے اور انجانے میں شرک سے بچنے کی دعا,Seeking Refuge from Shirk,
81,MasnoonDua-29,اَللّٰهُمَّ اِنِّیْ اَعُوْذُبِكَ مِنَ الْفَقْرِ وَالْقِلَّةِ  وَالذِّلَّةِ  وَاَعُوْذُبِكَ مِنْ اَنْ اَظْلِمَ اَوْ اُظْلَمَ,اے اللہ! بے شک میں محتاجی ، قلت اور ذلت سے تیری پناہ چاہتا ہوں اور اس بات سے بھی تیری پناہ چاہتا ہوں کہ میں ظلم کروں یا مجھ پرظلم کیا جائے,"O Allah! I seek refuge in You from poverty, deficiency and humiliation and I seek refuge in You that I wrong others or that I am wronged.",( سنن أبی داؤد،کتاب الوتر، باب الاستعاذة : 1544 ),( سنن أبی داؤد،کتاب الوتر، باب الاستعاذة : 1544 ),مسنون دعاء,Masnoon Dua,فقرسے پناہ مانگنا,Seeking Refuge from Poverty and Humiliation,
82,MasnoonDua-30,اَللّٰهُمَّ اَحْسِنْ عَاقِبَتَنَا فِی الْاُمُوْرِكُلِّهَا وَاَجِرْنَا مِنْ خِزْیِ الدُّنْيَا وَعَذَابِ الْاٰخِرَةِ,اے اللہ ! سب کاموں میں ہمارا انجام اچھا کر اور ہمیں دنیا کی رسوائی اور آخرت کے عذاب سے بچا,O Allah! Grant a good end in all our matters and save us from humiliation  of the world and the torment of the Hereafter.,( مجمع الزوائد ومنبع الفوائد، ج : 10، ص : 206 ),( مجمع الزوائد ومنبع الفوائد، ج : 10، ص : 206 ),مسنون دعاء,Masnoon Dua,ہر کام کا انجام بخیر ہونے کی دعا مانگنا,Asking for Good End in All Matters,
83,MasnoonDua-31,اَللّٰهُمَّ اِنِّیْ اَعُوْذُبِكَ مِنْ جَهْدِ الْبَلَاءِ وَدَرَكِ الشَّقَاءِ وَسُوْءِ الْقَضَاءِ وَشَمَاتَةِ الْاَعْدَاءِ,اے اللہ! بے شک میں سخت مشقت، بد بختی کے پا لینے ، بری تقدیر اور دشمنوں کے خوش ہونے سے تیری پناہ چاہتا ہوں,"O Allah! I seek refuge in You from severe trials and hardships, to be overtaken by wretchedness and bad fate and rejoicing of enemies.",( صحیح البخا ری، کتاب الدعوات : 6347 ),( صحیح البخا ری، کتاب الدعوات : 6347 ),مسنون دعاء,Masnoon Dua,بری تقدیر سے بچنے کی دعا,Seeking Refuge from Bad Fate,<http://www.i-knex.com/ontology/hadith#SB-HD6347>
84,MasnoonDua-32,اَللّٰهُمَّ اِنِّیْ اَعُوْذُبِكَ مِنَ الْهَمِّ وَالْحَزَنِ وَالْعَجْزِ وَالْكَسَلِ وَالْجُبْنِ وَالْبُخْلِ وَضَلَعِ الدَّیْنِ وَغَلَبَةِ الرِّجَالِ,اے اللہ ! بے شک میں فکر و غم، عاجزی و سستی، بزدلی و بخل، قرض کے بوجھ اور لوگوں کے غلبے سے تیری پناہ چاہتا ہوں,"O Allah! I seek refuge in You from worries and grief, and from helplessness and laziness, and from cowardice and miserliness and from the overpowering of debt and domination of the people.",( صحیح البخا ری، کتاب الدعوات : 6369 ),( صحیح البخا ری، کتاب الدعوات : 6369 ),مسنون دعاء,Masnoon Dua,غم و حزن سے بچنے کی جامع دعا,"Refuge from Grief, Laziness, Cowardice and Miseliness",<http://www.i-knex.com/ontology/hadith#SB-HD6369>
85,MasnoonDua-33,اَللّٰهُمَّ اِنِّیْ اَعُوْذُبِكَ مِنْ زَوَالِ نِعْمَتِكَ وَتَحَوُّلِ عَافِيَتِكَ وَفُجَائَةِ نِقْمَتِكَ وَجَمِيْعِ سَخَطِكَ,اے اللہ! بے شک میں تیری عطا کردہ نعمتوں کے زوال سے ، تیری عطا کردہ عافیت کے بدل جانے سے، تیری سزا کے اچانک وارِد ہو جانے سے اور تیری ہر قسم کی ناراضگی سے تیری پناہ چاہتا ہوں,"O Allah! I seek refuge in You from a decline in Your bounties, and a change of state of well-being, a sudden onset of Your punishment and (from) all Your wrath.",( صحیح مسلم، کتاب الرقاق: 6943 ),( صحیح مسلم، کتاب الرقاق: 6943 ),مسنون دعاء,Masnoon Dua,نعمت کے چلے جانے سے پناہ مانگنا,Seeking refuge from Decline in bounties and change of state of well being,
86,MasnoonDua-34,اَللّٰهُمَّ اِنِّیْ اَعُوْذُبِكَ مِنْ عِلْمٍ لَّا یَنْفَعُ وَمِنْ قَلْبٍ لَّا یَخْشَعُ وَمِنْ نَّفْسٍ لَّا تَشْبَعُ وَمِنْ دَعْوَةٍ لَّا یُسْتَجَابُ لَهَا,اے اللہ! میں پناہ مانگتا ہوں اس علم سے جو نفع نہ دے اور اس دل سے جو نہ ڈرے اور اس نفس سے جو سیر نہ ہو اور اس دعا سے جو قبول نہ کی جائے,"O Allah! I seek refuge in You from knowledge that is not beneficial and from a heart that does not fear, from a soul that is not satiated and from a prayer that is not answered.",( صحیح مسلم، کتاب الذکر والدعاء  : 6906 ),( صحیح مسلم، کتاب الذکر والدعاء  : 6906 ),مسنون دعاء,Masnoon Dua,غیر نافع علم اور نہ ڈرنے والے دل سے پناہ مانگنا,"Refuge from Unbeneficial Knowledge, Fearless Heart and Never Ending Desires",
87,MasnoonDua-35,اَللّٰهُمَّ زِدْنَا وَلَا تَنْقُصْنَا وَاَكْرِمْنَا وَلَا تُهِنَّا وَاَعْطِنَا وَلَا تَحْرِمْنَا وَآثِرْنَا وَلَا تُؤْثِرْ عَلَیْنَا وَاَرْضِنَا وَارْضَ عَنَّا,اے اللہ ! ہمیں زیادہ دے اور کم نہ کر، ہمیں عزت دے اور ذلیل نہ کر اور ہمیں عطا کر اور محروم نہ کر، ہمیں دوسروں پر مقدم کر اور ہم پر کسی کو مقدم نہ کر اور ہمیں راضی کر اور ہم سے راضی ہوجا,"O Allah! Increase for us and do not diminish, honour us and do not humiliate  us, grant us and do not deprive us, enable us to prevail (upon others) and do not let us be surpassed by others; please us and be pleased with us.",( سنن الترمذی، کتاب التفسیر  : 3173 ),( سنن الترمذی، کتاب التفسیر  : 3173 ),مسنون دعاء,Masnoon Dua,اللہ تعالیٰ سے اس کی عطا اور رضا مانگنا,Asking Allah for His Bounty and Pleasure,
88,MasnoonDua-36,اَللّٰهُمَّ اِنِّیْ اَعُوْذُبِكَ مِنْ يَوْمِ السُّوْءِ وَمِنْ لَيْلَةِ السُّوْءِ  وَمِنْ سَاعَةِ السُّوْءِ وَمِنْ صَاحِبِ السُّوْءِ وَمِنْ جَارِالسُّوْءِ  فِیْ دَارِالْمُقَامَةِ,اے اللہ! بے شک میں برے دن، بری رات، بری گھڑی ، برے دوست اور قیام کی جگہ میں برے ہمسایہ سے تیری پناہ مانگتا ہوں ,"O Allah! I seek refuge in You from an evil day, an evil night, an evil moment, and evil companion and from an evil neighbour at the place of staying.",( المعجم الکبیرللطبرانی، جز:17، حدیث: 810 ),( المعجم الکبیرللطبرانی، جز:17، حدیث: 810 ),مسنون دعاء,Masnoon Dua,برے وقت اور برے ہمسائے سے پناہ مانگنا,Seeking Refuge from Evil Times and Companion,
89,MasnoonDua-37,اَللّٰهُمَّ اغْفِرْلِیْ خَطِيْئَتِیْ وَجَهْلِیْ وَاِسْرَافِیْ فِیْ اَمْرِیْ وَمَا اَنْتَ اَعْلَمُ بِهِ مِنِّیْ، اللّٰهُمَّ اغْفِرْلِیْ هَزْلِیْ وَجِدِّیْ وَخَطَئِیْ وَعَمْدِیْ وَكُلُّ ذٰلِكَ عِنْدِیْ,اے اللہ! بخش دے میری خطا، میری جہالت، میرے کام میں میری زیادتی اور وہ جس کے بارے میں تو مجھ سے زیادہ جانتا ہے، اے اللہ! ہنسی مذاق میں، سنجیدگی میں، بھول کے اور جان کر کئے ہوئے میرے گناہ بخش دے اور یہ سب میرے اندر ہیں,"O Allah! Forgive my faults, my ignorance, exceeding in my matters and all that which You know better than me. O Allah! Forgive my sins done in jest, knowingly, mistakenly and those done intentionally and all these are in me.",(صحیح البخاری : 6399 ),(صحیح البخاری : 6399 ),مسنون دعاء,Masnoon Dua,گناہوں کی بخشش کی دعا,Seeking Repentence,<http://www.i-knex.com/ontology/hadith#SB-HD6399>
90,MasnoonDua-38,اَللّٰهُمَّ طَهِّرْ قَلْبِیْ مِنَ النِّفَاقِ وَعَمَلِیْ مِنَ الرِّيَاءِ وَلِسَانِیْ مِنَ الْكَذِبِ وَعَیْنِیْ مِنَ الْخِيَانَةِ فَاِنَّكَ تَعْلَمُ خَائِنَةَ الْاَعْيُنِ وَمَا تُخْفِی الصُّدُوْرُ,اے اللہ! میرے دل کو نفاق سے، میرے عمل کو ریا و نمود سے ، میری زبان کو جھوٹ سے اور میری آنکھ کو خیانت سے پاک کر دے ،بے شک تو آنکھوں کی خیانت اور سینوں کے چھپے ہوئے راز جانتا ہے,O Allah! Purify my heart from hypocrisy and my actions from showing off (riya) and my tongue from lying and my eyes from treachery. Indeed You know the treachery of the eyes and what is hidden in the chests.,(الدعوات الکبیر، ج : 1، ص :  168، حدیث : 227 ),(الدعوات الکبیر، ج : 1، ص :  168، حدیث : 227 ),مسنون دعاء,Masnoon Dua,نفاق اور ریا کاری سے بچنے کی دعا,Seeking Refuge from Hypocrisy and Showing off,
91,MasnoonDua-39,اَللّٰهُمَّ اِنِّیْ اَسْئَلُكَ مِنَ الْخَيْرِكُلِّهِ عَاجِلِهِ وَآجِلِهِ مَا عَلِمْتُ مِنْهُ وَمَا لَمْ اَعْلَمْ وَاَعُوْذُبِكَ مِنَ الشَّرِّكُلِّهِ عَاجِلِهِ وَآجِلِهِ مَا عَلِمْتُ مِنْهُ وَمَا لَمْ اَعْلَمْ,اے اللہ ! بے شک میں تجھ سے جلدی ملنے والی (دنیا کی) اور دیر سے ملنے والی (آخرت کی) تمام بھلائیوں کا سوال کرتا ہوں، ان میں سے جن کو میں جانتا ہوں اور جن کو میں نہیں جانتا اور میں تیری پناہ چاہتا ہوں جلدی ملنے والی (دنیا کی) اور دیر سے ملنے والی (آخرت کی) تمام برائیوں سے جن کو میں جانتا ہوں اور جن کو میں نہیں جانتا ,"O Allah! Indeed I ask You for all the goodness of the hastened one (this world) and of the delayed one (the Hereafter), from what I know and what I do not know. O Allah! I seek refuge in You from all the evil of the hastened one (this world) and of the delayed one (the Hereafter), from what I know and what I do not know.",( سنن ابن ماجہ، کتاب الدعاء : 3846 ),( سنن ابن ماجہ، کتاب الدعاء : 3846 ),مسنون دعاء,Masnoon Dua,ہر قسم کی خیر کا سوال کرنا,Asking for All Sorts of Goodness,
92,MasnoonDua-40,اَللّٰهُمَّ اِنِّیْ اَسْئَلُكَ مِنْ خَيْرِمَا سَاَلَكَ عَبْدُكَ وَنَبِيُّكَ وَاَعُوْذُبِكَ مِنْ شَرِّ مَاعَاذَبِهِ عَبْدُكَ وَنَبِيُّكَ,اے اللہ ! بے شک میں تجھ سے ہر اس بھلائی کا سوال کرتا ہوں جس کا سوال تیرے بندے اور نبیۖ نے کیا اور ہر اس برائی سے پناہ چاہتا ہوں جس سے تیرے بندے اور نبیۖ نے پناہ چاہی,O Allah! Indeed I ask You of all good which Your servant and Prophetۖ asked for and I seek refuge in You from all evils that Your servant and Prophetۖ  sought refuge from.,( سنن ابن ماجہ، کتاب الدعاء  : 3846 ),( سنن ابن ماجہ، کتاب الدعاء  : 3846 ),مسنون دعاء,Masnoon Dua,نبی صلی اللہ علیہ وسلم کی طلب کردہ خیر کا سوال,Asking for All the Good the Prophet saww Asked for,
93,MasnoonDua-41,اَللّٰهُمَّ اِنِّیْ اَسْئَلُكَ الْجَنَّةَ وَمَا قَرَّبَ اِلَيْهَا مِنْ قَوْلٍ اَوْعَمَلٍ وَّاَعُوْذُبِكَ مِنَ النَّارِ وَمَا قَرَّبَ اِلَيْهَا مِنْ قَوْلٍ اَوْعَمَلٍ واَسْئَلُكَ اَنْ تَجْعَلَ كُلَّ قَضَاءٍ قَضَيْتَهُ لِیْ خَيْرًا,اے اللہ! بے شک میں تجھ سے سوال کرتا ہوں جنت کا اور ہر اس قول یا عمل کا جو اس (جنت) کے قریب کر دے، میں تیری پناہ چاہتا ہوں آگ سے اور ہر اس قول یا عمل سے جو اس( آگ) کے قریب کر دے اور میں تجھ سے سوال کرتا ہوں کہ ہر فیصلے کو جو تو نے میرے لیے کرنا ہے میرے حق میں بہتر بنا دے,"O Allah! I ask You of Paradise and those words and actions that will draw me near to it. I seek refuge in You from the Fire and from those words and actions that  will draw me near to it. I ask You that You make, whatever You have decreed (for me), a mean of goodness for me.",( سنن ابن ماجہ، کتاب الدعاء  : 3846 ),( سنن ابن ماجہ، کتاب الدعاء  : 3846 ),مسنون دعاء,Masnoon Dua,جنت کا سوال اور جہنم سے بچاؤ کی دعا,Asking for Jannah and Seeking Refuge from Hell,
94,MasnoonDua-42,اَللّٰهُمَّ اِنِّیْ اَعُوْذُبِكَ مِنَ الْبُخْلِ وَاَعُوْذُبِكَ مِنَ الْجُبْنِ وَاَعُوْذُبِكَ اَنْ اُرَدَّ اِلَی اَرْذَلِ الْعُمُرِ وَاَعُوْذُبِكَ مِنْ فِتْنَةِ الدُّنْیَا وَاَعُوْذُبِكَ مِنْ عَذَابِ الْقَبْرِ,اے اللہ! میں تیری پناہ چاہتا ہوں بخل سے، تیری پناہ چاہتا ہوں بزدلی سے، تیری پناہ چاہتا ہوں اس سے کہ میں بے کار عمر کی طرف لوٹایا جاؤں، تیری پناہ چاہتا ہوں دنیا کی آزمائش سے اور تیری پناہ چاہتا ہوں قبر کے عذاب سے,O Allah! I  seek refuge in You from miserliness and I seek refuge in You from cowardice  and I seek refuge in You that I am returned to a pathetic age and I seek refuge in You from the trials of the world and I seek refuge in You from the torment of the grave.,( صحیح البخاری، کتاب الدعوات : 6370 ),( صحیح البخاری، کتاب الدعوات : 6370 ),مسنون دعاء,Masnoon Dua,بخل، بزدلی اور تکلیف دہ بڑھاپے سے پناہ مانگنا,"Seeking Refuge from Miserliness, Cowardice and Pathetic Age",<http://www.i-knex.com/ontology/hadith#SB-HD6370>
95,MasnoonDua-43,اَللّٰهُمَّ اِنِّیْ اَعُوذُبِرِضَاكَ مِنْ سَخَطِكَ وَبِمُعَافَاتِكَ مِنْ عُقُوبَتِكَ وَاَعُوْذُبِكَ مِنْكَ، لَا اُحْصِیْ ثَنَاءً عَلَیْكَ، اَنْتَ كَمَا اَثْنَیْتَ عَلَی نَفْسِكَ,اے اللہ!  میں تیرے غصے کی نسبت تیری رضا کی ، تیرے عذاب کی نسبت تیری عافیت چاہتا ہوں اور میں تجھ سے تیری ہی پناہ چاہتا ہوں، مجھ میں تیری تعریف کرنے کی طاقت نہیں، تو ایسا ہی ہے جیسی تو نے خود اپنی تعریف کی,"O Allah! I seek refuge in Your pleasure rather than Your anger, in Your forgiveness rather than Your retribution, I seek refuge in You from You. I do not find strength to praise You, You are as You have praised Yourself.",( صحیح مسلم،کتاب الصلاة  : 1090 ),( صحیح مسلم،کتاب الصلاة  : 1090 ),مسنون دعاء,Masnoon Dua,اللہ کی ناراضگی سے پناہ مانگنا,Seeking Refuge from Allah's Wrath,
96,MasnoonDua-44,اَللّٰهُمَّ اغْفِرْلِیْ مَا قَدَّمْتُ وَمَااَخَّرْتُ وَمَا اَسْرَرْتُ وَمَا اَعْلَنْتُ وَمَا اَسْرَفْتُ وَمَا اَنْتَ اَعْلَمُ بِهِ مِنِّیْ، اَنْتَ الْمُقَدِّمُ وَاَنْتَ الْمُؤَخِّرُ، لَا اِلٰهَ اِلَّا اَنْتَ,اے اللہ! میرے لیے بخش دے جو میں نے پہلے کیا اور جو میں نے بعد میں کیا، جو میں نے چھپایا اور جو میں نے ظاہر کیا، جو میں نے حد سے تجاوز کیا اور وہ جو تو مجھ سے زیادہ جانتا ہے  تو سب سے پہلے اور سب سے آخر ہے، تیرے سوا کوئی معبود نہیں,O Allah! Forgive for me whatever I have  sent  ahead and whatever I have delayed;  whatever I have hidden and whatever I have disclosed; whatever I exceeded in and whatever You know more than me. You are the Foremost and the Final; there is no deity except You.,( صحیح مسلم، کتاب صلاة المسافرین  : 1812 ),( صحیح مسلم، کتاب صلاة المسافرین  : 1812 ),مسنون دعاء,Masnoon Dua,ہر قسم کے گناہوں سے بخشش مانگنا,Seeking Repentance from All Sins,
97,MasnoonDua-45,اَللّٰهُمَّ ارْزُقْنِیْ حُبَّكَ وَحُبَّ مَنْ يَّنْفَعُنِیْ حُبُّهُ عِنْدَكَ، اللّٰهُمَّ مَا رَزَقْتَنِیْ مِمَّا اُحِبُّ فَاجْعَلْهُ قُوَّةً لِّیْ فِيْمَا تُحِبُّ، اللّٰهُمَّ وَمَا زَوَيْتَ عَنِّیْ  مِمَّا اُحِبُّ فَاجْعَلْهُ فَرَاغًا لِیْ فِيْمَا تُحِبُّ,اے اللہ ! مجھے اپنی محبت عطا کر اور اس شخص کی محبت دے جس کی محبت مجھے تیر ے قریب ہونے میں فائدہ دے اے اللہ ! تیرے عطا کیے ہوئے میں سے جس سے میں محبت کرتا ہوں تو اس کو میرے ان کاموں کے لیے قوت کا سبب بنا جن سے تو محبت کرتا ہے، اے اللہ ! جو تو نے مجھ سے لے لیا ہے وہ جس سے میں محبت کرتا ہوں، تو اس کو میرے ان کاموں کے لیے فراغت کا باعث بنا جن سے تو محبت کر تا ہے,"O Allah! Grant me Your love and the love of those whose love will help me draw nearer to You. O Allah! Whatever You have provided me of that which I love, then make it a means to strengthen me for that which You love. O Allah! and what You have kept from me of that which I love then make it a means for me to be free for that which You love.",( سنن النسائی، کتاب الاستعاذة : 5533 ),( سنن الترمذی،کتاب الدعوات عن رسول اللّٰہۖ  :3491 ),مسنون دعاء,Masnoon Dua,اللہ کی محبت طلب کرنا,Asking for Allah's Love,
98,MasnoonDua-46,اَللّٰهُمَّ اِنِّیْ اَعُوْذُبِكَ مِنَ التَّرَدِّیْ وَالْهَدْمِ  وَالْغَرَقِ  وَالْحَرِيْقِ وَاَعُوْذُبِكَ اَنْ يَّتَخَبَّطَنِیَ الشَّيْطَانُ عِنْدَ الْمَوْتِ وَاَعُوْذُبِكَ اَنْ اَمُوْتَ فِیْ سَبِيْلِكَ مُدْبِرًا وَّاَعُوْذُبِكَ اَنْ اَمُوْتَ لَدِيْغًا,اے اللہ! بے شک میں گر کر مرنے، دب کر مرنے ،ڈوب کر مرنے اور جل کر مرنے سے تیری پناہ چاہتا ہوں، اور میں تیری پناہ چاہتا ہوں اس سے کہ موت کے وقت شیطان مجھے اچک لے، اور میں تیری پناہ چاہتا ہوں اس سے کہ تیرے راستے میں پیٹھ پھیرتے ہوئے مارا جائوں ،اور میں تیری پناہ چاہتا ہوں کہ میری موت (زہریلے جانورکے) ڈسنے سے واقع ہو,O Allah! I seek refuge in You from falling from above and to be buried beneath debris and drowning and burning and I seek refuge in You from being led astray by the satan at the time of death and I seek refuge in You from turning my back and fleeing from the battlefield and I seek refuge in You that I die from the bite (of a venomous animal).,( سنن النسائی، کتاب الاستعاذة : 5533 ),( سنن النسائی، کتاب الاستعاذة : 5533 ),مسنون دعاء,Masnoon Dua,تکلیف دہ اور ناگہانی موت سے پناہ مانگنا,Seeking refuge from Painful Death,
99,MasnoonDua-47,اَللّٰهُمَّ اَصْلِحْ لِیْ دِيْنِیَ الَّذِیْ هُوَعِصْمَةُ اَمْرِیْ وَاَصلِحْ لِیْ دُنْيَایَ الَّتِیْ  فِيْهَا مَعَاشِیْ وَاَصْلِحْ  لِیْ آخِرَتِیَ الَّتِیْ  فِيْهَا مَعَادِیْ وَاجْعَلِ الْحَيَاةَ زِيَادَةً  لِّیْ فِیْ كُلِّ خَيْرٍ وَّاجْعَلِ الْمَوْتَ رَاحَةً لِّیْ مِنْ كُلِّ شَرٍّ,اے اللہ ! تو میرے دین کو سنوار دے جو میرے معاملہ کا محافظ ہے ، میری دنیا سنوار دے جس میں میری معیشت ہے ، میری آخرت سنوار دے جہاں میں نے لوٹنا ہے، میری زندگی کو ہر بھلائی میں اضافہ کا سبب اور موت کو ہر برائی سے را حت کا سبب بنا دے,"O Allah! put right for me my Deen which is a source of guarding my affairs and reform for me my world wherein is my livelihood, reform for me my hereafter wherein is my return and make my life as a source of abundant goodness and make my death a source of peace from all evils.",(صحیح مسلم، کتاب الذکر والدعائ : 6903 ),(صحیح مسلم، کتاب الذکر والدعائ : 6903 ),مسنون دعاء,Masnoon Dua,دین و دنیا کی اصلاح کی دعا کرنا,Dua for Righteousness,
100,MasnoonDua-48,اَللّٰهُمَّ اجْعَلْ حُبَّكَ اَحَبَّ الْاَشْيَاءِ اِلَیَّ وَاجْعَلْ خَوْفَكَ اَخْوَفَ الْاَشْيَاءِ اِلَیَّ وَاقْطَعْ عَنِّیْ حَاجَاتِ الدُّنْيَا بِالشَّوْقِ  اِلَی لِقَائِكَ وَاِذَا اَقْرَرْتَ اَعْيُنَ اَهْلِ الدُّنْيَا مِنْ دُنْيَاهُمْ فَاَقْرِرْ عَيْنِیْ مِنْ عِبَادَتِكَ,اے اللہ ! اپنی محبت کو میرے لیے ہر چیز کی محبت سے بڑھا دے ، مجھ میں اپنا خوف ہر چیز کے خوف سے زیادہ کر دے ، دنیا کی ہر طلب پر اپنی ملاقات کا شوق غالب کر دے اور جب تو د نیا والوں کو ان کی دنیا سے ٹھنڈک دے تو میری آنکھوں کی ٹھنڈک اپنی عبادت میں رکھ دے,"O Allah! Increase Your love for me over the love of all other things, exceed Your fear over the fear of all other things and exceed my eagerness to meet You over all the worldly desires, And when the eyes of the people of the world are cooled by their world, place the coolness of my eyes in Your worship.",(حلیةالأولیة، باب عبد اللّٰہ العمری، ج : 3 ),(حلیةالأولیة، باب عبد اللّٰہ العمری، ج : 3 ),مسنون دعاء,Masnoon Dua,اللہ کی محبت اور خوف کے ہر چیز پر حاوی ہوجانے کی دعا,Asking for Allah's Love and Fear,
101,MasnoonDua-49,اَللّٰهُمَّ اِنِّیْ اَسْئَلُكَ فِعْلَ الْخَيْرَاتِ وَتَرْكَ الْمُنْكَرَاتِ وَحُبَّ الْمَسَاكِيْنِ وَاَنْ تَغْفِرَلِیْ وَتَرْحَمَنِیْ وَاِذَا اَرَدْتَّ فِتْنَةً  فِیْ قَوْمٍ  فَتَوَفَّنِیْ غَيْرَ مَفْتُوْنٍ وَاَسْئَلُكَ حُبَّكَ وَحُبَّ مَنْ يُحِبُّكَ وَحُبَّ عَمَلٍ يُّقَرِّبُنِیْ اِلَی حُبِّكَ,ا ے اللہ ! بے شک میں تجھ سے نیکیاں کرنے، برائیوں سے بچنے اور مسکینوں سے محبت کا سوال کرتا ہوں اور یہ کہ تو مجھے بخش دے اور مجھ پر رحم فرما اور جب تو کسی قوم کو آزمائش میں مبتلا کرنے کا ارادہ کرے تو مجھے بغیر آزمائش کے فوت کر دے، میں تجھ سے تیری محبت کا سوال کرتا ہوں اور اس کی محبت کا جو تجھ سے محبت کرتا ہے اور اس عمل کی محبت کا جو مجھے تیری محبت کے قریب کر دے ,"O Allah! I ask You for being able to do good deeds, abstain from bad deeds and to love the deprived ones. And that You forgive me and have mercy on me and whenever You intend putting a nation on trial, grant me death without undergoing that trial. I ask You of Your love and the love of those who love You and the love of the deeds which will draw me nearer to Your love.",(مسند احمد، ج:36،ص:422، حدیث: 22109 ),(مسند احمد، ج:36،ص:422، حدیث: 22109 ),مسنون دعاء,Masnoon Dua,نیک کاموں کو کرنے کی توفیق مانگنا,Asking for the Ability to Do Righteous Deeds,
